race_id,race_season,race_name,track_name,race_date,finishing_position,starting_position,car_number,driver_fullname,driver_id,team_name,car_make,sponsor,crew_chief_fullname,laps_completed,finishing_status,laps_led,times_led,points_earned,diff_laps,diff_time,playoff_points_earned,points_position,points_delta,disqualified,qualifying_order,qualifying_position,qualifying_speed,track_type,track_length
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,18,11,51,Jeremy Clements,595,Jeremy Clements Racing,Chevrolet,PacWest First Pacific Funding,Mark Setzer,150,Running,0,0,19,0,19837,0,17,0,FALSE,32,11,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,19,13,18,Sammy Smith,4441,Joe Gibbs Racing,Toyota,Pilot Flying J,Jeff Meendering,150,Running,14,5,26,0,20387,0,15,0,FALSE,15,13,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,20,4,31,Parker Retzlaff,4419,Jordan Anderson Racing,Chevrolet,FUNKAWAY,Joshua Graham,150,Running,0,0,17,0,21653,0,12,0,FALSE,24,4,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,21,20,45,Rajah Caruth,4422,Alpha Prime Racing,Chevrolet,Circle Pay,Frank Kerr,150,Running,0,0,0,0,22661,0,41,0,FALSE,30,20,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,22,7,27,Jeb Burton,4018,Jordan Anderson Racing,Chevrolet,Contractor Rewards / State Water Heaters,Shane Whitbeck,150,Running,0,0,15,0,25001,0,13,0,FALSE,22,7,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,23,31,2,Sheldon Creed,4204,Richard Childress Racing,Chevrolet,Whelen,Jeff Stankiewicz,150,Running,15,3,22,0,28214,0,23,0,FALSE,4,31,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,24,38,91,Ross Chastain,4001,DGM Racing,Chevrolet,"JAG Metals, LLC",Mario Gosselin,150,Running,0,0,0,0,28491,0,42,0,FALSE,37,38,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,25,30,6,Brennan Poole,4144,JD Motorsports,Chevrolet,TeamJDMotorsports.com,Kase Kallenbach,150,Running,0,0,12,0,32265,0,31,0,FALSE,6,30,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,26,26,44,Jeffrey Earnhardt,3894,Alpha Prime Racing,Chevrolet,Jesus Revolution - The Movie,Michael Groves,150,Running,0,0,11,0,32589,0,28,0,FALSE,29,26,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,27,8,00,Cole Custer,4104,Stewart-Haas Racing,Ford,Production Alliance Group ,Jonathan Toney,149,Running,46,2,30,1,0,2,6,0,FALSE,1,8,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,28,28,28,Alex Labbe,4225,RSS Racing,Ford,G Coin/ LARUE ,Steve Addington,149,Running,0,0,9,0,0,0,33,0,FALSE,23,28,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,29,34,35,Joey Gase,4004,Emerling Gase Motorsports,Toyota,OneLegacy/ CA Highway Patrol,Paul Clapprood,149,Running,0,0,8,1,0,0,25,0,FALSE,25,34,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,30,36,4,Bayley Currey,4257,JD Motorsports,Chevrolet,KSDT CPA,Wayne Carroll Jr,149,Running,0,0,7,1,0,0,34,0,FALSE,5,36,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,31,33,07,Blaine Perkins,4376,SS GreenLight Racing,Chevrolet,AUTOPARKIT.com,Mike Hillman Sr.,149,Running,0,0,6,1,0,0,37,0,FALSE,7,33,0,two mile,2
