race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4104,24,17,33,33,0,3,36,27.75,61,-34,95,9,0,29,0,171,38.17
5148,Pennzoil 400 presented by Jiffy Lube,267,274,243,26,1,34,34,0,1,34,31.9,19,-34,53,0,0,5,1,148,31.67
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4228,4,35,35,35,0,3,36,24.06,69,-16,85,52,0,109,0,135,55.33
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4023,11,36,36,36,0,1,20,24.21,47,7,40,46,10,103,10,104,79.7
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4113,21,37,37,37,0,13,34,31.32,49,10,39,12,0,18,0,92,37.33
5149,Ruoff Mortgage 500,312,312,4228,6,8,1,1,0,1,11,4.62,39,2,37,35,40,312,101,312,128.69
5149,Ruoff Mortgage 500,312,312,4001,17,7,2,4,2,1,23,8.69,75,15,60,52,17,276,0,312,103.67
5149,Ruoff Mortgage 500,312,312,4065,12,6,3,7,4,1,13,5.85,68,18,50,66,15,312,0,312,107.7
5149,Ruoff Mortgage 500,312,312,4023,1,1,4,5,1,1,30,4.5,62,32,30,32,52,286,143,312,131.22
5149,Ruoff Mortgage 500,312,312,453,15,19,5,12,7,4,23,15.55,68,2,66,38,0,132,0,312,80
5149,Ruoff Mortgage 500,312,312,1416,16,3,6,3,-3,2,21,5.5,50,14,36,44,20,301,0,312,111.04
5149,Ruoff Mortgage 500,312,312,454,11,12,7,13,6,2,26,11.48,126,28,98,78,2,256,0,312,87.3
5149,Ruoff Mortgage 500,312,312,3859,10,10,8,6,-2,1,15,8.44,89,4,85,79,3,312,4,312,96.78
5149,Ruoff Mortgage 500,312,312,4113,23,15,9,18,9,7,31,18.2,92,25,67,39,0,121,0,312,71
5149,Ruoff Mortgage 500,312,312,3989,26,16,10,17,7,10,27,18.02,90,-1,91,24,0,52,0,312,71
5149,Ruoff Mortgage 500,312,312,4062,19,2,11,2,-9,1,20,3.91,43,10,33,30,36,292,50,312,121.68
5149,Ruoff Mortgage 500,312,312,40,5,14,12,11,-1,5,26,14.34,89,-7,96,61,2,224,0,312,78.64
5149,Ruoff Mortgage 500,312,312,1361,2,17,13,16,3,2,31,15.1,85,8,77,35,1,154,0,312,77.07
5149,Ruoff Mortgage 500,312,312,4045,9,13,14,10,-4,3,20,10.31,73,3,70,66,4,306,0,312,83.78
5149,Ruoff Mortgage 500,312,312,4013,21,22,15,20,5,13,26,20.56,60,-23,83,9,0,3,0,312,60.5
5149,Ruoff Mortgage 500,312,312,4104,25,18,16,14,-2,3,28,16.66,61,-21,82,23,0,141,0,312,65.5
5149,Ruoff Mortgage 500,312,312,4172,28,23,17,21,4,15,32,24,38,-4,42,0,0,3,0,312,53.83
5149,Ruoff Mortgage 500,312,312,4184,3,4,18,9,-9,1,19,5.67,48,-11,59,47,19,310,12,312,96.46
5149,Ruoff Mortgage 500,312,312,4231,33,20,19,19,0,16,33,22.07,60,-11,71,0,0,0,0,312,55.67
5149,Ruoff Mortgage 500,312,312,3774,29,25,20,22,2,16,31,24.55,65,-7,72,0,1,0,0,312,47.24
5149,Ruoff Mortgage 500,312,312,3873,13,9,21,8,-13,5,16,9.82,62,-8,70,58,7,306,0,311,80.81
5149,Ruoff Mortgage 500,312,312,4025,27,27,22,25,3,13,32,25.56,66,9,57,1,5,8,0,311,51.35
5149,Ruoff Mortgage 500,312,312,1816,18,26,23,23,0,15,31,24.52,45,-20,65,1,0,0,0,311,43.33
5149,Ruoff Mortgage 500,312,312,4180,8,24,24,24,0,6,27,19.9,49,-26,75,25,0,91,0,311,57.17
5149,Ruoff Mortgage 500,312,312,4059,14,21,25,15,-10,14,29,20.64,66,5,61,2,0,10,0,311,55.67
5149,Ruoff Mortgage 500,312,312,4153,4,29,26,28,2,3,33,21.64,44,7,37,14,5,63,0,310,68.18
5149,Ruoff Mortgage 500,312,312,3832,22,30,27,29,2,21,32,28.81,48,-7,55,0,4,0,0,310,39.28
5149,Ruoff Mortgage 500,312,312,3888,36,28,28,26,-2,4,36,27.68,75,4,71,0,0,2,0,310,41.17
5149,Ruoff Mortgage 500,312,312,4217,24,31,29,27,-2,4,32,27.56,53,-22,75,5,0,16,0,309,43.83
5149,Ruoff Mortgage 500,312,312,3808,31,32,30,30,0,28,35,31.62,10,-8,18,0,0,0,0,308,32.5
5149,Ruoff Mortgage 500,312,312,4125,32,33,31,31,0,18,34,32.5,12,-4,16,0,0,0,0,307,30.17
5149,Ruoff Mortgage 500,312,312,4142,35,34,32,32,0,8,36,33.71,6,3,3,0,0,1,0,305,27.83
5149,Ruoff Mortgage 500,312,312,3973,34,35,33,33,0,32,36,34.46,3,-2,5,0,0,0,0,304,25.33
5149,Ruoff Mortgage 500,312,312,4030,7,5,34,34,0,1,33,14.47,67,-6,73,37,16,210,2,239,76.94
5149,Ruoff Mortgage 500,312,312,3368,20,11,35,35,0,9,21,19.94,52,4,48,41,0,180,0,219,63.5
5149,Ruoff Mortgage 500,312,312,4096,30,36,36,36,0,25,34,34.99,19,-6,25,0,0,0,0,45,28.17
5150,Folds of Honor QuikTrip 500,325,325,4184,12,1,1,1,0,1,22,4.7,184,22,162,156,7,307,111,325,134.91
5150,Folds of Honor QuikTrip 500,325,325,4001,7,27,2,7,5,1,36,14.43,147,9,138,133,14,200,42,325,101.63
5150,Folds of Honor QuikTrip 500,325,325,453,9,25,3,13,10,1,35,16.06,250,34,216,159,11,152,4,325,79.39
5150,Folds of Honor QuikTrip 500,325,325,4113,13,16,4,6,2,1,22,9.32,295,8,287,238,8,263,13,325,101.79
5150,Folds of Honor QuikTrip 500,325,325,4096,33,24,5,18,13,6,35,20.17,192,32,160,63,9,53,0,325,73.63
5150,Folds of Honor QuikTrip 500,325,325,4062,6,9,6,14,8,1,26,8.8,324,15,309,282,5,284,29,325,108.08
5150,Folds of Honor QuikTrip 500,325,325,3989,14,11,7,12,5,6,34,15.41,231,-43,274,179,3,212,0,325,74.71
5150,Folds of Honor QuikTrip 500,325,325,3368,26,18,8,11,3,1,29,13.06,272,-16,288,184,7,192,5,325,85.01
5150,Folds of Honor QuikTrip 500,325,325,3859,3,29,9,16,7,1,31,12.73,277,-20,297,234,4,232,12,325,103.15
5150,Folds of Honor QuikTrip 500,325,325,4045,11,28,10,8,-2,6,35,16.76,263,23,240,157,11,177,0,325,86.61
