race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
3,175,30,31,Casey Carden*,nationalpolice.org Chevrolet,58.434,163.877,3,3,5.103
3,176,31,6,Con Nicolopoulos,Peterson Motorsports Ford,59.178,161.817,2,6,5.847
3,121,32,48,Brad Smith,Copraya.com Ford,60.5,158.276,5,5,7.171
4,150,1,18,William Sawalich*,Starkey/Sound Gear Toyota,22.411,160.635,30,31,0
4,182,2,55,Brent Crews*,Mobil 1 Toyota,22.508,159.943,25,26,0.097
4,151,3,20,Gio Ruggiero*,JBL Toyota,22.619,159.158,23,23,0.208
4,111,4,2,Andres Perez,Max Siegel Inc Chevrolet,22.796,157.922,20,20,0.385
4,114,5,6,Lavar Scott*,Max Siegel Inc Chevrolet,22.82,157.756,29,29,0.409
4,179,6,82,Carson Kvapil*,Chevrolet Performance Chevrolet,22.863,157.46,30,31,0.452
4,137,7,15,Kris Wright,FNB Corportation Toyota,22.925,157.034,32,32,0.514
4,178,8,28,Connor Zilisch*,Chevrolet/Silve Hare Development Chevrolet,23.034,156.291,36,37,0.623
4,103,9,32,Christian Rose,West Virginia Department of Tourism Ford,23.213,155.086,21,22,0.802
4,136,10,25,Toni Breidinger,VMS Toyota,23.436,153.61,32,33,1.025
4,108,11,22,Amber Balcaen,Icon Technologies Toyota,23.515,153.094,29,30,1.104
4,109,12,73,Andy Jankowiak,Galactic Acres Toyota,23.662,152.143,11,33,1.251
4,158,13,42,Tanner Reif,Vegas Fastener Manufacturing/MMI Chevrolet,23.832,151.057,23,23,1.421
4,124,14,17,Marco Andretti*,Group 1001/MMI Chevrolet,23.984,150.1,31,31,1.573
4,102,15,35,Greg Van Alst,Holzerman General Contracting Window/Door Ford,24.41,147.481,12,25,1.999
4,181,16,39,D.L. Wilson,Heart O’ Texas Speedway/ETR Toyota,24.96,144.231,34,37,2.549
4,149,17,6,Cody Dennison*,ALL CAPS Comincs Toyota,25.019,143.891,12,12,2.608
4,134,18,93,Caleb Costner*,Strapinno Chevrolet,25.207,142.817,6,7,2.796
4,139,19,10,Ed Pompa,Infinity Aggregates LLC/Double H Ranch Ford,25.607,140.587,32,32,3.196
4,180,20,11,Zachary Tinkle,Racing for Rescues/Fast Track Toyota,25.721,139.963,14,14,3.31
4,120,21,99,Michael Maples*,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,27.593,130.468,18,26,5.182
4,107,22,3,Alex Clubb,Race Parts Liquidators Ford,28.779,125.091,8,8,6.368
4,184,23,12,Mike Basham,NASCAR Technical Institute Toyota,29.526,121.926,3,3,7.115
5,123,1,18,Tanner Gray,JGR Toyota,30.723,175.764,6,9,0
5,110,2,20,Jake Finch*,Phoenix Construction Toyota,30.745,175.638,18,18,0.022
5,137,3,15,Kris Wright,FNB Corporation Toyota,30.772,175.484,2,9,0.049
5,114,4,6,Lavar Scott*,Max Siegel Inc Chevrolet,30.794,175.359,14,14,0.071
5,111,5,2,Andres Perez,Max Siegel Inc Chevrolet,30.846,175.063,9,9,0.123
5,108,6,22,Amber Balcaen,ICON Corporation Toyota,30.864,174.961,2,2,0.141
5,185,7,55,Dean Thompson,Thompson Pipe Group Toyota,30.876,174.893,14,14,0.153
5,153,8,28,Connor Mosack*,Chevrolet Performance Chevrolet,30.887,174.831,14,14,0.164
5,109,9,73,Andy Jankowiak,DAK’s Market Toyota,31.145,173.383,9,11,0.422
5,158,10,42,Tanner Reif,Vegas Fastner Manufacturing Chevrolet,31.152,173.344,7,7,0.429
5,136,11,25,Toni Breidinger,VMS Toyota,31.303,172.507,19,19,0.58
5,103,12,32,Christian Rose,West Virginia Department of Tourism Ford,31.384,172.062,6,7,0.661
5,186,13,33,Lawless Alan*,Auto Parkit Racing,31.507,171.39,2,14,0.784
5,124,14,17,Marco Andretti*,Group 100/MMI Services/Sunwest Construction Chevrolet,31.564,171.081,2,22,0.841
5,149,15,11,Cody Dennison*,Timcast.com Ford,32.183,167.79,13,13,1.46
5,115,16,10,Ryan Huff,Williamsburg Contracting/Shenco Ford,32.187,167.77,13,14,1.464
5,133,17,74,Mandy Chick*,Dynamic Drivelines/FK Rod Ends/Fragola Perf Chevrolet,32.433,166.497,8,9,1.71
5,102,18,35,Greg Van Alst,CB Fabricating Ford,33.608,160.676,4,14,2.885
5,120,19,99,Michael Maples*,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,33.66,160.428,2,4,2.937
5,122,20,12,Ryan Roulette*,Bellator Recruiting Academy/VFW Ford,34.019,158.735,12,12,3.296
5,141,21,31,Brayton Laster*,@Cyber_Fox_onX.com/CarAggio.com Chevrolet,34.093,158.39,8,8,3.37
5,187,22,6,Kevin Hinckle,KH Automotive Ford,35.988,150.05,3,4,5.265
5,121,23,48,Brad Smith,Copraya.com Ford,37.028,145.836,6,6,6.305
6,123,1,18,Tanner Gray,JGR Toyota,30.874,174.904,8,19,0
6,114,2,6,Lavar Scott*,Max Siegel Inc Chevrolet,30.877,174.887,15,15,0.003
6,108,3,22,Amber Balcaen,ICON Toyota,30.892,174.803,12,13,0.018
6,137,4,15,Kris Wright,FNB Corporation Toyota,30.905,174.729,19,19,0.031
6,100,5,55,Gus Dean,DRIVEN Trackside,30.961,174.413,3,19,0.087
6,179,6,82,Carson Kvapil*,Chevrolet Performace Chevrolet,30.961,174.413,17,18,0.087
6,111,7,2,Andres Perez,Max Siegel Inc Chevrolet,31.029,174.031,4,24,0.155
6,188,8,69,Will Kimmel,Weddington Custom Homes-Accel Hydraulics,31.079,173.751,5,12,0.205
6,109,9,73,Andy Jankowiak,Acacia Energy Toyota,31.125,173.494,3,19,0.251
6,185,10,20,Dean Thompson,Thompson Pipe Group Toyota,31.594,170.919,2,12,0.72
6,153,11,28,Connor Mosack*,Chevrolet/Silver Hare Development Chevrolet,31.64,170.67,12,16,0.766
6,136,12,25,Toni Breidinger,Celsius Toyota,31.725,170.213,8,24,0.851
6,186,13,33,Lawless Alan*,Auto Parkit Ford,31.739,170.138,7,13,0.865
6,105,14,97,Jason Kitzmiller,A.L.L Construction Chevrolet,31.96,168.961,7,37,1.086
6,149,15,10,Cody Dennison*,Timcast.com Toyota,32.183,167.79,14,18,1.309
6,103,16,32,Christian Rose,Blue Wolf Cleaners & Degreasers Ford,32.283,167.271,6,14,1.409
6,102,17,35,Greg Van Alst,CB Fabricating Ford,32.462,166.348,4,10,1.588
6,104,18,27,Tim Richmond,Immigration Law Center Toyota,32.537,165.965,11,19,1.663
6,189,19,9,Sebastian Arias,Brady IFS Chevrolet,32.861,164.329,10,24,1.987
6,191,20,11,Jayson Alexander*,Constant Contact Ford,33.33,162.016,18,18,2.456
6,134,21,93,Caleb Costner*,C4 Foundation/Heritage Water Systems Chevrolet,33.873,159.419,6,16,2.999
6,190,22,57,Austin McDaniel*,Brother In Law Motorsports Chevrolet,34.345,157.228,6,11,3.471
6,145,23,88,A.J. Moyer,Rivers’s Edge Cottages & RV Park/Ampere EV Chevrolet,34.637,155.903,18,19,3.763
6,122,24,12,Ryan Roulette*,Bellator Recruiting Academy/VFW Ford,34.718,155.539,14,14,3.844
6,119,25,75,Hunter Deshautelle*,Brother-In-Law Motorsports Chevrolet,35.203,153.396,2,18,4.329
6,147,26,31,Mitch Gibson*,C&S Construction & Cabinet Designs Chevrolet,35.683,151.333,7,11,4.809
6,107,27,3,Alex Clubb,Race Parts Liquidators Ford,35.737,151.104,3,5,4.863
6,176,28,6,Con Nicolopoulos,Peterson Motorsports Ford,35.945,150.23,9,10,5.071
6,121,29,48,Brad Smith,Copraya.com Ford,37.259,144.931,3,6,6.385
6,120,30,99,Michael Maples*,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,38.198,141.369,1,1,7.324
7,151,1,20,Gio Ruggiero*,JBL Toyota,23.104,136.34,19,19,0
7,178,2,28,Connor Zilisch,Chevrolet Performance Chevrolet,23.183,135.875,26,31,0.079
7,100,3,55,Gus Dean,VMS Toyota,23.39,134.673,31,31,0.286
7,150,4,18,William Sawalich,Starkey/Sound Gear Toyota,23.493,134.082,35,50,0.389
7,111,5,2,Andres Perez,Max Siegel Inc Chevrolet,23.801,132.347,32,32,0.697
7,136,6,25,Toni Breidinger,Ruedubusch Toyota,23.84,132.131,44,44,0.736
7,109,7,73,Andy Jankowiak,Acacia Energy Toyota,23.86,132.02,28,36,0.756
7,137,8,15,Kris Wright,FNB Corportation Toyota,23.925,131.661,29,32,0.821
7,114,9,6,Lavar Scott,Max Siegel Inc Chevrolet,24.243,129.934,19,31,1.139
