race_id,driver_id,BestLapRank,Number,FullName,Sponsor,BestLapTime,BestLapSpeed,InLap,Laps,Diff
26,169,24,27,"Bobby Hillis, Jr.",Camping World/First Impression Press Chevrolet,86.8,82.489,1,2,9.71
26,166,25,5,David Smith,Shockwave Marine Suspension Seating Toyota,89.3,80.224,2,3,12.162
27,157,1,13,Tyler Reif,Central Coast Cabinets Toyota,18.372,97.975,2,3,0
27,154,2,15,Sean Hingorani,Fidelity Capital Toyota,18.447,97.577,2,3,0.075
27,159,3,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,18.456,97.529,2,3,0.084
27,156,4,16,Jack Wood,NAPA Auto Care/BlueDEF Chevrolet,18.478,97.413,2,3,0.106
27,160,5,12,Kyle Keller,Setting The Stage/Battle Born/Argus Const Ford,18.543,97.072,3,3,0.171
27,230,6,5,Kole Raz,Apache Rental Group/Jerry Pitts Racing Toyota,18.615,96.696,2,3,0.243
27,110,7,20,Jake Finch,Phoenix Toyota,18.645,96.541,2,3,0.273
27,155,8,55,Isabella Robusto*,Yahoo! Toyota,18.711,96.2,2,2,0.339
27,162,9,19,"Eric Johnson, Jr.",Pacific Office Automation Chevrolet,18.796,95.765,2,3,0.424
27,164,10,71,Nick Joanides,Jan’s Towing Ford,18.833,95.577,3,3,0.461
27,161,11,3,Todd Souza,Central Coast Cabinets Toyota,18.867,95.405,3,3,0.495
27,144,12,7,Takuma Koga,Yamada Infra Technos/CKB/Pitts Toyota Racing Toyota,18.963,94.922,2,3,0.591
27,246,13,23,Jaron Giannini,Versatile/SPS/GMS Fabrication Chevrolet,18.986,94.807,3,3,0.614
27,173,14,77,Garrett Zacharias,King Taco/REX MD/Wallace Signs Toyota,19.205,93.726,3,4,0.833
27,166,15,5,David Smith,Shockwave Marine Suspension Seating Toyota,19.689,91.422,3,3,1.317
27,247,16,9,Michael Killen,Jan’s Towing Ford,20.563,87.536,3,3,2.191
27,169,17,27,"Bobby Hillis, Jr.",First Impression Press/LT&T Lawn/RV Nerd/Camping World Chevrolet,20.922,86.034,1,2,2.55
28,164,1,71,Nick Joanides,Jan’s Towing Ford,18.38,97.933,2,3,0
28,157,2,13,Tyler Reif,Central Coast Cabinets Toyota,18.4,97.826,2,3,0.02
28,155,3,55,Isabella Robusto*,Yahoo! Toyota,18.461,97.503,2,3,0.081
28,154,4,15,Sean Hingorani,Fidelity Capital Toyota,18.47,97.455,2,3,0.09
28,159,5,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,18.494,97.329,2,3,0.114
28,110,6,20,Jake Finch,Phoenix Toyota,18.5,97.297,2,3,0.12
28,230,7,5,Kole Raz,Apache Rental Group/Jerry Pitts Racing Toyota,18.518,97.203,2,3,0.138
28,156,8,16,Jack Wood,BlueDEF/NAPA Night Vision Chevrolet,18.626,96.639,2,3,0.246
28,246,9,23,Jaron Giannini,Versatile/SPS/GMS Fabrication Chevrolet,18.628,96.629,2,3,0.248
28,161,10,3,Todd Souza,Central Coast Cabinets Toyota,18.708,96.216,3,3,0.328
28,160,11,12,Kyle Keller,Setting The Stage/Battle Born/Argus Const Ford,18.744,96.031,3,3,0.364
28,162,12,19,"Eric Johnson, Jr.",Pacific Office Automation Chevrolet,18.789,95.801,2,3,0.409
28,173,13,77,Garrett Zacharias,King Taco/REX MD/Wallace Signs Toyota,19.179,93.853,2,3,0.799
28,144,14,7,Takuma Koga,IKEDO archetype/CKB/Pitts Toyota Racing Toyota,19.268,93.419,2,3,0.888
28,247,15,9,Michael Killen,Jan’s Towing Ford,19.481,92.398,3,3,1.101
28,172,16,11,Danica Dart,Evers Farms/Pioneer Perf/EBCO Constr/Guardian Fence Chevrolet,19.549,92.076,2,3,1.169
28,166,17,5,David Smith,Shockwave Marine Suspension Seating Toyota,20.079,89.646,2,2,1.699
28,169,18,27,"Bobby Hillis, Jr.",First Impression Press/LT&T Lawn/RV Nerd/Camping World Chevrolet,20.935,85.98,2,3,2.555
28,248,19,31,Rick Goodale,Nor-Cal Battery Company Chevrolet,21.087,85.361,3,3,2.707
29,157,1,13,Tyler Reif,Central Coast Cabinets Toyota,16.033,84.201,1,2,0
29,154,2,5,Sean Hingorani,Fidelity Capital Toyota,16.073,83.992,2,2,0.04
29,156,3,16,Jack Wood,NAPA Auto Care Chevrolet,16.093,83.887,2,2,0.06
29,159,4,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,16.222,83.22,2,2,0.189
29,249,5,80,Derek Copeland,Wards Concrete/SK Constr/Cox & Cox Constr Toyota,16.253,83.062,2,2,0.22
29,161,6,3,Todd Souza,Central Coast Cabinets Toyota,16.305,82.797,2,2,0.272
29,160,7,12,Kyle Keller,Setting The Stage/Battle Born/Argus Const Ford,16.314,82.751,2,2,0.281
29,246,8,23,Jaron Giannini,Versatile/SPS/GMS Fabrication Toyota,16.331,82.665,1,2,0.298
29,164,9,71,Nick Joanides,Jan’s Towing Ford,16.417,82.232,2,2,0.384
29,144,10,7,Takuma Koga,IKEDO archetype Toyota,16.571,81.468,1,2,0.538
29,163,11,11,Robbie Kennealy,Setting The Stage/American Swim Academy/CoverEase Chevrolet,17.037,79.239,2,2,1.004
29,166,12,5,David Smith,Shockwave Marine Suspension Seating Toyota,17.052,79.17,2,2,1.019
30,154,1,5,Sean Hingorani,Fidelity Capital Toyota,18.675,96.386,1,1,0
30,157,2,13,Tyler Reif,Central Coast Cabinets Toyota,18.795,95.77,2,2,0.12
30,156,3,16,Jack Wood,NAPA Auto Care Chevrolet,18.998,94.747,2,2,0.323
30,252,4,23,Greg Biffle,SPS/GMS/Greg Biffle Chevrolet,19.029,94.592,2,2,0.354
30,160,5,12,Kyle Keller,Setting the Stage/Argus Construction/Battleborn Racing Ford,19.147,94.01,1,2,0.472
30,251,6,6,Jess Havens,Western Rail Toyota,19.164,93.926,1,2,0.489
30,144,7,7,Takuma Koga,Lobster-Koshi NoKangai CKB/Jerry Pitts Racing Toyota,19.208,93.711,1,2,0.533
30,250,8,88,Kasey Kleyn,Farmer Bean & Seed/Thaemert Farms Ford,19.216,93.672,2,2,0.541
30,162,9,19,"Eric Johnson, Jr.",Pacific Office Automation Chevrolet,19.253,93.492,2,2,0.578
30,161,10,3,Todd Souza,Central Coast Cabinets Toyota,19.262,93.448,1,2,0.587
30,159,11,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,19.32,93.168,2,2,0.645
30,164,12,71,Nick Joanides,Jan’s Towing Ford,19.402,92.774,2,2,0.727
30,172,13,11,Danica Dart,EBCO Construction/Evers Farms/Guardian Fence Chevrolet,19.49,92.355,1,2,0.815
30,209,14,31,Rick Redig-Tackman,Max Buchanan Foundation Chevrolet,19.716,91.296,2,2,1.041
30,166,15,5,David Smith,Shockwave Marine Suspension Seating Toyota,20.842,86.364,2,2,2.167
31,246,1,23,Jaron Giannini,GMS Fabrication-Versatile and Stone-SPS Toyota,14.696,81.573,2,2,0
31,159,2,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,14.701,81.545,2,2,0.005
31,157,3,13,Tyler Reif,Central Coast Cabinets Toyota,14.747,81.291,2,2,0.051
31,154,4,5,Sean Hingorani,Fidelity Capital Toyota,14.777,81.126,1,2,0.081
31,156,5,16,Jack Wood,NAPA Auto Care Chevrolet,14.794,81.033,2,2,0.098
31,231,6,4,"Eric Nascimento, Jr.",Impact Transport-Freddys Tree Svc-Joiner-Nascimento Chevrolet,14.811,80.94,2,2,0.115
31,253,7,21,Ethan Nascimento,Impact Trans-Nascimento-Davids Racing Prod-Paul Cardoso Toyota,14.837,80.798,2,2,0.141
31,160,8,12,Kyle Keller,Las Vegas Rentals-Arbus Construction-Battle Born Racing Ford,14.845,80.754,2,2,0.149
31,235,9,6,Henry Barton,Turn One io Toyota,14.895,80.483,1,2,0.199
31,254,10,71,Rip Michels,Jans Towing Ford,14.924,80.327,1,2,0.228
31,161,11,3,Todd Souza,Central Coast Cabinets Toyota,15.167,79.04,2,2,0.471
31,144,12,7,Takuma Koga,GR Garage Toyota,15.185,78.946,2,2,0.489
31,247,13,9,Michael Killen,Jan’s Towing Ford,15.225,78.739,2,2,0.529
31,163,14,11,Robbie Kennealy,American Swim-STS Coverease Chevrolet,15.608,76.807,2,2,0.912
31,255,15,77,Kyle Whisner,King Taco-Victory Junction-REX MD-Park West,15.896,75.415,2,2,1.2
31,166,16,5,David Smith,Shockwave Marine Suspension Seating Toyota,16.076,74.571,2,2,1.38
32,159,1,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,13.761,87.116,2,2,0
32,157,2,13,Tyler Reif,Central Coast Cabinets Toyota,13.81,86.807,2,2,0.049
32,231,3,4,"Eric Nascimento, Jr.",Impact Transport-Freddys Tree Svc-Joiner-Nascimento Chevrolet,13.811,86.8,2,2,0.05
32,235,4,6,Henry Barton,Turn One io Toyota,13.813,86.788,2,2,0.052
32,156,5,16,Jack Wood,NAPA Auto Care Chevrolet,13.824,86.719,1,2,0.063
32,246,6,23,Jaron Giannini,GMS Fabrication-Versatile and Stone-SPS Toyota,13.832,86.669,2,2,0.071
32,154,7,5,Sean Hingorani,Fidelity Capital Toyota,13.896,86.269,2,2,0.135
