race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5314,1,33,02,4187,Kyle Weatherman,0
5314,1,34,44,3894,Jeffrey Earnhardt,0
5314,1,35,26,4191,Kaz Grala,0
5314,1,36,4,4142,Garrett Smithley,0
5314,1,37,53,4004,Joey Gase,0
5314,1,38,66,4259,Caesar Bacarella,0
5314,2,1,48,3914,Parker Kligerman,10
5314,2,2,98,4269,Riley Herbst,9
5314,2,3,9,4085,Brandon Jones,8
5314,2,4,2,4204,Sheldon Creed,7
5314,2,5,78,4301,Anthony Alfredo,6
5314,2,6,39,3884,Ryan Sieg,5
5314,2,7,8,4123,Josh Berry,4
5314,2,8,21,4133,Austin Hill,3
5314,2,9,00,4104,Cole Custer,2
5314,2,10,51,595,Jeremy Clements,1
5314,2,11,25,4038,Brett Moffitt,0
5314,2,12,20,4092,John Hunter Nemechek,0
5314,2,13,38,4313,Joe Graf Jr.,0
5314,2,14,19,3952,Ryan Truex,0
5314,2,15,1,4327,Sam Mayer,0
5314,2,16,7,34,Justin Allgaier,0
5314,2,17,31,4419,Parker Retzlaff #,0
5314,2,18,10,4172,Justin Haley(i),0
5314,2,19,6,4144,Brennan Poole,0
5314,2,20,16,4312,Chandler Smith #,0
5314,2,21,11,4093,Daniel Hemric,0
5314,2,22,18,4441,Sammy Smith #,0
5314,2,23,07,4376,Blaine Perkins #,0
5314,2,24,27,4018,Jeb Burton,0
5314,2,25,08,4103,Gray Gaulding,0
5314,2,26,28,4388,Kyle Sieg,0
5314,2,27,43,4029,Ryan Ellis,0
5314,2,28,35,4254,Patrick Emerling,0
5314,2,29,91,4410,Chad Chastain,0
5314,2,30,24,4433,Connor Mosack,0
5314,2,31,45,4409,Sage Karam,0
5314,2,32,92,4106,Josh Williams,0
5314,2,33,02,4187,Kyle Weatherman,0
5314,2,34,44,3894,Jeffrey Earnhardt,0
5314,2,35,26,4191,Kaz Grala,0
5314,2,36,4,4142,Garrett Smithley,0
5314,2,37,53,4004,Joey Gase,0
5314,2,38,66,4259,Caesar Bacarella,0
5315,1,1,10,3774,AJ Allmendinger(i),0
5315,1,2,2,4204,Sheldon Creed,9
5315,1,3,48,3914,Parker Kligerman,8
5315,1,4,19,4368,Ty Gibbs(i),0
5315,1,5,17,4184,William Byron(i),0
5315,1,6,98,4269,Riley Herbst,5
5315,1,7,7,34,Justin Allgaier,4
5315,1,8,9,4085,Brandon Jones,3
